"company_name_storage","company_id_storage","company_type_storage","naics_code_storage","naics_code_description_storage","chemical_name_storage","hazardous_ingredient_storage","average_amount_storage","maximum_amount_storage","storage_method_storage","hazardous_class_description_storage","in_storage","key","address"
"KROGER",17365,"FLUID MILK PROCESSING BOTTLING  ICE PRODUCTION  WATER BOTTLING",311511,"FLUID MILK MFG","AC-55-5 RED","NITRIC ACID","200-499","1,000-4,999","TANK INSIDE BUILDING","Reactive Material",1,"26-0141","4950 N BASIN AVE, PORTLAND, OR 97217"
"ALSCO AMERICAN LINEN",19140,"LINEN SUPPLY",812331,"LINEN SUPPLY","ECONOMY SOUR","SODIUM SILICOFLUORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-2579","1441 N COLUMBIA BLVD, PORTLAND, OR 97217"
"ALSCO AMERICAN LINEN",19140,"LINEN SUPPLY",812331,"LINEN SUPPLY","BONUS","SODIUM CARBONATE","1,000-4,999","1,000-4,999","BAG","Corrosive Material",1,"26-2579","1441 N COLUMBIA BLVD, PORTLAND, OR 97217"
"PORTLAND SCHOOL DISTRICT 1J",17468,"HIGH SCHOOL",611110,"ELEMENTARY & SECONDARY SCHOOLS","ALUMINUM INGOTS","ALUMINUM","1,000-4,999","1,000-4,999","OTHER","Miscellaneous Hazardous Material",1,"26-2713","546 NE 12TH AVE, PORTLAND, OR 97232"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","PULSAR PLUS DRY CHLORINATOR BRIQUETTES","CALCIUM HYPOCHLORITE","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","CELATOM FW14","DIATOMACEOUS EARTH FLUX CALCINED","500-999","1,000-4,999","BAG","Chronic Health Hazard",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","ANHYDROUS 94-97% CALCIUM CHLORIDE PELLET","CALCIUM CHLORIDE","200-499","500-999","BAG","Acute Health Hazard",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","CALCIUM HYPOCHLORITE PREMIUM SHOCK","CALCIUM HYPOCHLORITE","500-999","1,000-4,999","PLASTIC BOTTLE, JUG, BUCKET","Corrosive Material",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","E-Z CLOR QUICK DISSOLVE","SODIUM DICHLORO-S-TRIAZINETRIONE","200-499","500-999","PLASTIC BOTTLE, JUG, BUCKET","Oxidizers",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","FERTILIZER 10-2-8 NATURE SAFE","NONE LISTED ON MSDS","500-999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","GREEN LOGIC ICE MELT","POTASSIUM CHLORIDE","500-999","500-999","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"LEWIS & CLARK COLLEGE",42802,"COLLEGE",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","DENSE SODA ASH","SODIUM CARBONATE","500-999","500-999","BAG","Acute Health Hazard",1,"26-2778","0615 SW PALATINE HILL RD, PORTLAND, OR 97219"
"REED COLLEGE",10581,"EDUCATION",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","FLOOR DRY","DIATOMACEOUS EARTH NATURAL","1,000-4,999","1,000-4,999","FIBER DRUM","Miscellaneous Hazardous Material",1,"26-2784","3203 SE WOODSTOCK BLVD, PORTLAND, OR 97202"
"REED COLLEGE",10581,"EDUCATION",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","GROGANIC","ORGANIC BASED FERTILIZER","50-199","1,000-4,999","BAG","Acute Health Hazard",1,"26-2784","3203 SE WOODSTOCK BLVD, PORTLAND, OR 97202"
"REED COLLEGE",10581,"EDUCATION",611310,"COLLEGES, UNIVERSITIES, & PROFESSIONAL SC","CALCIUM CHLORIDE","CALCIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-2784","3203 SE WOODSTOCK BLVD, PORTLAND, OR 97202"
"PORTLAND COMMUNITY COLLEGE",42814,"COMMUNITY COLLEGE",611210,"JUNIOR COLLEGES","USED OIL","LUBRCATING OILS USED","200-499","500-999","UNDERGROUND TANK","Acute Health Hazard",1,"26-2971","12000 SW 49TH AVE, PORTLAND, OR 97219"
"PORTLAND COMMUNITY COLLEGE",42814,"COMMUNITY COLLEGE",611210,"JUNIOR COLLEGES","GERSTLEY BORATE","SODIUM CALCIUM BORATE","500-999","500-999","BAG","Acute Health Hazard",1,"26-2971","12000 SW 49TH AVE, PORTLAND, OR 97219"
"PORTLAND COMMUNITY COLLEGE",42814,"COMMUNITY COLLEGE",611210,"JUNIOR COLLEGES","ROAD RUNNER-ICE MELT","POTASSIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-2971","12000 SW 49TH AVE, PORTLAND, OR 97219"
"PORTLAND COMMUNITY COLLEGE",42814,"COMMUNITY COLLEGE",611210,"JUNIOR COLLEGES","CALCIUM HYPOCHLORITE","CALCIUM HYPOCHLORITE","500-999","500-999","BAG","Oxidizers",1,"26-2971","12000 SW 49TH AVE, PORTLAND, OR 97219"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","2171 GENERAL CLEANER","SODIUM CARBONATE","50-199","200-499","FIBER DRUM","Acute Health Hazard",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","SULFURIC ACID","SULFURIC ACID","500-999","500-999","ABOVEGROUND TANK","Reactive Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","EXELERATE CIP","SODIUM HYDROXIDE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","PALM OIL","PALM OIL","1,000-4,999","5,000-9,999","TOTEBIN","Combustible Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","CHOCOLATE DAIRY POWDER","PROPRIETARY","5,000-9,999","5,000-9,999","BAG","Combustible Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","KRYSTAR CRYSTALLINE FRUCTOSE","FRUCTOSE","5,000-9,999","10,000-49,999","BAG","Combustible Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","STAR-DRI 5","MALTODEXTRIN","1,000-4,999","50,000-99,999","BAG","Combustible Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","CORN SYRUP","CORN SYRUP","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","CAUSTIC","SODIUM HYDROXIDE","500-999","500-999","TANK INSIDE BUILDING","Corrosive Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","AC 103","SODIUM HYDROXIDE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Corrosive Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"DARIGOLD INC",16380,"PROCESS STORAGE DISTRIBUTION OF MILK PRODUCTS",311511,"FLUID MILK MFG","AC-55-5 RED","NITRIC ACID","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"26-3253","2720 SE 6TH AVE, PORTLAND, OR 97202"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","DYNAMATE","POTASSIUM MAGNESIUM SULFATE","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","EPSOM SALTS","MAGNESIUM SULFATE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","FRYER MINERAL PREMIX","IRON SULFATE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","IRON OXIDE","FERRIC OXIDE","500-999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","LUBRICATING OIL","REFINED MINERAL OIL","1,000-4,999","1,000-4,999","STEEL DRUM","Combustible Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","MANGANESE SULFATE","MANGANESE SULFATE","500-999","1,000-4,999","BAG","Acute Health Hazard",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","MONO DICALCIUM PHOSPHATE","DICALCIUM PHOSPHATE DIHYDRATE","50,000-99,999","100,000-249,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","MONOSODIUM PHOSPHATE (XP4)","MONOSODIUM PHOSPHATE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","MYCO-CURB","PROPIONIC ACID","5,000-9,999","10,000-49,999","TOTEBIN","Corrosive Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","PIG MINERAL PREMIX","IRON SULFATE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","POTASSIUM CHLORIDE","POTASSIUM CHLORIDE","1,000-4,999","5,000-9,999","BAG","Acute Health Hazard",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","POULTRY MINERAL PREMIX","IRON SULFATE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","AMMONIUM SULFATE","AMMONIUM SULFATE","500-999","5,000-9,999","BAG","Acute Health Hazard",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","SALT","SODIUM CHLORIDE","50,000-99,999","50,000-99,999","BAG","Acute Health Hazard",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","SELENIUM 600","CALCIUM CARBONATE","1,000-4,999","10,000-49,999","BAG","Acute Health Hazard",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","SHEEP MINERAL PREMIX","ZINC OXIDE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","SODIUM BICARBONATE","SODIUM BICARBONATE","10,000-49,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","UREA 45%","UREA","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","ZINC SULFATE","ZINC SULFATE","1,000-4,999","1,000-4,999","BAG","Combustible Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","ZINPRO 100","ZINC SULFATE","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","CALCIUM CARBONATE","CALCIUM CARBONATE","50,000-99,999","50,000-99,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","BMD 25","EDIBLE GRAIN MIXTURE","200-499","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","CATTLE MINERAL PREMIX","IRON SULFATE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","CAUSTIC SODA","SODIUM HYDROXIDE","500-999","500-999","PLASTIC OR NON-METALLIC DRUM","Corrosive Material",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"PURINA ANIMAL NUTRITION LLC",7440,"FEED PRODUCTION",311119,"OTHER ANIMAL FOOD MFG","COPPER SULFATE","COPPER SULFATE PENTAHYDRATE","1,000-4,999","5,000-9,999","BAG","Acute Health Hazard",1,"26-3062","15840 N SIMMONS RD, PORTLAND, OR 97203"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","FLOUR","WHEAT","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","MONOSODIUM GLUTAMATE","MONOSODIUM GLUTAMATE","1,000-4,999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","SALT","SODIUM CHLORIDE","5,000-9,999","10,000-49,999","BAG","Acute Health Hazard",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","SODA ASH","SODIUM CARBONATE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","SOYBEAN OIL","SOYBEAN OIL","1,000-4,999","5,000-9,999","PLASTIC BOTTLE, JUG, BUCKET","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","SULFAMIC ACID","SULFAMIC ACID","500-999","500-999","BAG","Corrosive Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","BAKING SODA","SODIUM BICARBONATE","500-999","1,000-4,999","BAG","Miscellaneous Hazardous Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","COCOA POWDER","COCOA POWDER","1,000-4,999","50,000-99,999","BAG","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","MILK POWDER","NONE LISTED ON MSDS","50,000-99,999","50,000-99,999","BAG","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","DEHYDRATED VEGETABLES","NONE LISTED ON MSDS","10,000-49,999","10,000-49,999","BAG","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","POWDERED FLAVOR","PROPRIETARY","10,000-49,999","10,000-49,999","BAG","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","SPICES","SOYBEAN","5,000-9,999","5,000-9,999","BOX","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","YEAST BASED FLAVORING","YEASE EXTRACT POWDER","1,000-4,999","5,000-9,999","BAG","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","CHEESE POWDERS","NONE LISTED ON SDS","1,000-4,999","1,000-4,999","BAG","Combustible Material",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","POWDERED FLAVOR CHICKEN/HAM","YEAST EXTRACT AUTOLYZED","500-999","1,000-4,999","BOX","Acute Health Hazard",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","CITRIC ACID","CITRIC ACID","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","CITRIC ACID SOLUTION","CITRIC ACID","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Acute Health Hazard",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"BOYD COFFEE CO",5221,"FOOD MFG & DIST",311999,"ALL OTHER MISC FOOD MFG","DISODIUM PHOSPHATE","DISODIUM PHOSPHATE","200-499","500-999","BAG","Acute Health Hazard",1,"26-2477","19730 NE SANDY BLVD, PORTLAND, OR 97230"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","DV-671 LADLE REFRACTORY","ALUMINUM OXIDE","5,000-9,999","10,000-49,999","BAG","Chronic Health Hazard",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","ELECTROLYTIC IRON","IRON","1,000-4,999","1,000-4,999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","ETHYL ALCOHOL","ETHYL ALCOHOL","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Flammable and Combustible Liquid",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","FERRO COLUMBIUM","COLUMBIUM","500-999","500-999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","FLUORESCENT PENETRANT","ALIPHATIC OIL","500-999","500-999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","HAFNIUM METAL","HAFNIUM","200-499","500-999","BOX","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","ISOPROPYL ALCOHOL","ISOPROPYL ALCOHOL","5,000-9,999","5,000-9,999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","LATEX","STYRENE BUTADIENE POLYMER","1,000-4,999","1,000-4,999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","LOW CARBON IRON","IRON","500-999","500-999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","MANGANESE RAW MATERIAL","MANGANESE","500-999","500-999","BOX","Dangerous When Wet",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","MINRO-AL A55 RAM","ALUMINUM OXIDE","200-499","500-999","BAG","Acute Health Hazard",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","ALUMINA SAND AND FLOUR","ALUMINUM OXIDE","5,000-9,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","ALUMINUM","ALUMINUM","500-999","500-999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","NICKEL","NICKEL","1,000-4,999","1,000-4,999","STEEL DRUM","Acute Health Hazard",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","NICKEL COLUMBIUM","COLUMBIUM","200-499","500-999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","NICKEL MAGNESIUM","NICKEL","500-999","1,000-4,999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","POTASSIUM HYDROXIDE","POTASSIUM HYDROXIDE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Reactive Material",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
"PCC STRUCTURALS INC",5152,"INVESTMENT CASTING",331528,"OTHER NONFERROUS FOUNDRIES (EXC DIE-CASTIN","PROTEX","CALCIUM SALT","1,000-4,999","1,000-4,999","STEEL DRUM","Acute Health Hazard",1,"26-0130","4600 SE HARNEY DR, PORTLAND, OR 97206"
